Source,Target,Weight,type
52,546,0.24664,doc
52,600,0.21515,doc
52,601,0.21699,doc
53,195,0.20901,doc
54,273,0.20587,doc
54,1168,0.21906,doc
55,151,0.25507,doc
55,399,0.34192,doc
55,472,0.24188,doc
55,675,0.23429,doc
55,756,0.21402,doc
55,1108,0.21112,doc
57,93,0.39722,doc
57,219,0.20439,doc
57,242,0.21524,doc
57,257,0.33691,doc
57,265,0.21344,doc
57,536,0.21611,doc
57,627,0.20439,doc
57,683,0.30487,doc
57,700,0.381,doc
57,887,0.21024,doc
57,1140,0.25005,doc
58,403,0.21391,doc
59,136,0.28428,doc
59,405,0.22116,doc
59,757,0.21295,doc
59,985,0.25749,doc
59,1024,0.2334,doc
62,203,0.23193,doc
62,222,0.21177,doc
62,363,0.28772,doc
62,561,0.27898,doc
62,759,0.22364,doc
62,798,0.23435,doc
62,1107,0.25006,doc
62,1131,0.21902,doc
63,259,0.21832,doc
64,65,0.23578,doc
64,66,0.28353,doc
64,71,0.25382,doc
65,66,0.27465,doc
65,68,0.25256,doc
65,69,0.20967,doc
65,71,0.24676,doc
65,72,0.20681,doc
65,91,0.21694,doc
65,521,0.22369,doc
66,68,0.20724,doc
66,69,0.23577,doc
66,71,0.26291,doc
66,72,0.22062,doc
66,91,0.2583,doc
66,95,0.21133,doc
66,112,0.25871,doc
66,403,0.23351,doc
66,486,0.22222,doc
66,521,0.23315,doc
66,705,0.22406,doc
66,817,0.25234,doc
68,94,0.46097,doc
68,125,0.25922,doc
68,131,0.36202,doc
68,186,0.48443,doc
68,199,0.5203,doc
68,258,0.36255,doc
68,419,0.27775,doc
68,463,0.48558,doc
68,626,0.39466,doc
68,881,0.25388,doc
68,1198,0.24347,doc
69,71,0.22583,doc
69,764,0.21157,doc
70,393,0.59075,doc
70,394,0.52989,doc
70,816,0.56454,doc
70,850,0.28636,doc
70,1126,0.32012,doc
71,91,0.25243,doc
71,521,0.20739,doc
72,142,0.24759,doc
72,175,0.23835,doc
72,483,0.49145,doc
75,91,0.22594,doc
75,107,0.28312,doc
75,170,0.2641,doc
75,347,0.23916,doc
75,603,0.23836,doc
75,608,0.21865,doc
75,653,0.20775,doc
75,677,0.22147,doc
75,808,0.20754,doc
75,970,0.32422,doc
75,1090,0.25848,doc
76,152,0.30868,doc
76,389,0.21132,doc
76,397,0.22678,doc
76,424,0.30544,doc
76,739,0.30512,doc
76,751,0.23871,doc
76,942,0.30569,doc
76,969,0.34736,doc
76,1023,0.25678,doc
76,1125,0.4983,doc
76,1128,0.25317,doc
78,88,0.28826,doc
78,157,0.28451,doc
78,249,0.33398,doc
78,385,0.44309,doc
79,755,0.31826,doc
80,161,0.23369,doc
80,285,0.23689,doc
80,290,0.22156,doc
81,156,0.39183,doc
81,159,0.37926,doc
81,163,0.39239,doc
81,179,0.24445,doc
81,205,0.26215,doc
81,213,0.28238,doc
81,246,0.31632,doc
81,248,0.55799,doc
81,253,0.27657,doc
81,276,0.23117,doc
81,282,0.46457,doc
81,326,0.2584,doc
81,341,0.34905,doc
81,382,0.58267,doc
81,437,0.23361,doc
81,438,0.35319,doc
81,451,0.35703,doc
81,622,0.57939,doc
81,628,0.34102,doc
81,800,0.20398,doc
81,829,0.20727,doc
81,964,0.41067,doc
81,1042,0.21453,doc
81,1114,0.24189,doc
82,116,0.8216,doc
82,126,0.95509,doc
82,223,0.92672,doc
82,224,0.889,doc
82,664,0.77996,doc
84,197,0.20043,doc
87,160,0.26767,doc
87,242,0.29324,doc
87,252,0.37591,doc
87,264,0.25159,doc
87,422,0.52053,doc
87,462,0.39547,doc
87,613,0.48229,doc
87,949,0.36864,doc
87,959,0.59756,doc
87,1068,0.42863,doc
87,1078,0.34832,doc
87,1140,0.29959,doc
87,1143,0.26218,doc
88,157,0.30436,doc
88,249,0.32353,doc
88,385,0.36058,doc
89,125,0.28634,doc
89,168,0.25153,doc
89,419,0.26794,doc
89,455,0.3498,doc
89,758,0.2314,doc
89,992,0.26721,doc
89,1057,0.20245,doc
89,1075,0.20075,doc
90,251,0.33718,doc
90,346,0.4017,doc
90,389,0.31696,doc
90,397,0.2087,doc
90,589,0.20236,doc
90,1149,0.21768,doc
91,755,0.28626,doc
93,257,0.55356,doc
93,265,0.28405,doc
93,394,0.27273,doc
93,683,0.25948,doc
93,700,0.37308,doc
93,816,0.22207,doc
93,1126,0.2448,doc
93,1140,0.38277,doc
94,125,0.25491,doc
94,131,0.32354,doc
94,134,0.23591,doc
94,186,0.41543,doc
94,199,0.34903,doc
94,258,0.33689,doc
94,419,0.25681,doc
94,455,0.21436,doc
94,463,0.3687,doc
94,626,0.34431,doc
94,744,0.2084,doc
95,112,0.36321,doc
95,134,0.24757,doc
95,296,0.21714,doc
95,379,0.21088,doc
95,380,0.31829,doc
95,403,0.32652,doc
95,486,0.31694,doc
95,624,0.23933,doc
95,705,0.26897,doc
95,817,0.25799,doc
95,939,0.26611,doc
96,127,0.20685,doc
96,519,0.21759,doc
96,601,0.25298,doc
96,631,0.22651,doc
96,1113,0.20546,doc
97,98,0.21382,doc
97,138,0.22655,doc
97,156,0.20027,doc
97,279,0.23689,doc
97,339,0.2045,doc
97,669,0.23195,doc
97,733,0.21222,doc
97,764,0.20145,doc
97,987,0.20869,doc
98,197,0.20098,doc
98,276,0.21042,doc
98,764,0.20123,doc
98,1114,0.20402,doc
99,833,0.82282,doc
100,140,0.22582,doc
100,146,0.23051,doc
100,171,0.26733,doc
100,217,0.30468,doc
100,313,0.29337,doc
100,396,0.2046,doc
100,508,0.21188,doc
100,584,0.20611,doc
100,873,0.25621,doc
100,1124,0.30054,doc
100,1165,0.23664,doc
102,259,0.22499,doc
102,829,0.27487,doc
102,847,0.23044,doc
103,113,0.27415,doc
104,812,0.38149,doc
104,915,0.25133,doc
106,156,0.20156,doc
106,233,0.21033,doc
106,276,0.24982,doc
106,438,0.2087,doc
106,964,0.29588,doc
106,1042,0.21703,doc
106,1114,0.23465,doc
106,1136,0.21262,doc
107,834,0.20257,doc
108,472,0.25415,doc
109,276,0.21278,doc
109,380,0.20679,doc
109,390,0.24691,doc
111,144,0.2099,doc
111,294,0.3191,doc
111,470,0.3534,doc
111,706,0.2461,doc
111,792,0.31628,doc
111,865,0.26402,doc
111,965,0.24431,doc
112,134,0.27246,doc
112,296,0.23706,doc
112,314,0.21195,doc
112,379,0.33135,doc
112,380,0.35578,doc
112,403,0.35686,doc
112,486,0.3911,doc
112,624,0.28159,doc
112,705,0.34716,doc
112,722,0.221,doc
112,817,0.44875,doc
112,939,0.43292,doc
112,1022,0.27345,doc
113,329,0.4148,doc
113,419,0.25125,doc
113,455,0.27937,doc
113,758,0.22575,doc
115,117,0.23173,doc
115,119,0.36773,doc
115,1025,0.27618,doc
116,126,0.81161,doc
116,223,0.78797,doc
116,224,0.82795,doc
116,664,0.71074,doc
117,119,0.34633,doc
117,465,0.23864,doc
117,1025,0.28513,doc
118,156,0.2066,doc
118,159,0.42331,doc
119,120,0.27782,doc
119,1025,0.48019,doc
120,197,0.24543,doc
120,856,0.28513,doc
120,902,0.23289,doc
120,1025,0.23364,doc
120,1061,0.20283,doc
121,134,0.20005,doc
121,403,0.20635,doc
121,505,0.29564,doc
122,123,0.21411,doc
122,257,0.20955,doc
122,259,0.30881,doc
122,306,0.28304,doc
122,408,0.21857,doc
122,832,0.20071,doc
122,850,0.34765,doc
122,958,0.21199,doc
123,257,0.22885,doc
123,259,0.2869,doc
123,398,0.3026,doc
